Change ID,Target Table Type,Target Schema,Target Table,Target Column,Target Column Data Type,Stage DB Schema,Stage Table,Stage Column,Landing DB Schema,Landing Source Table,Landing Source Column,Source DB Schema,Source Table,Source Column,Source Data Type,Transformation,Comment,Package Name,Source Query,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,SupplierBK,varchar,OLTP,Suppliers,supplier_id,OLTP,Suppliers,supplier_id,OLTP,Suppliers,supplier_id,varchar,Direct copy,Business key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,SupplierName,nvarchar(255),OLTP,Suppliers,name,OLTP,Suppliers,name,OLTP,Suppliers,name,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,SupplierEmail,nvarchar(255),OLTP,Suppliers,email,OLTP,Suppliers,email,OLTP,Suppliers,email,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,SupplirePhone,nvarchar(50),OLTP,Suppliers,phone,OLTP,Suppliers,phone,OLTP,Suppliers,phone,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,SupplierCountry,nvarchar(100),OLTP,Suppliers,country,OLTP,Suppliers,country,OLTP,Suppliers,country,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,RecordIsLatest,int,,,,,,,Default 1,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,HashCode,nvarchar(255),,,,,,,MD5 hash of attributes,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,EndDate,Date,,,,,,,,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimProduct,DWHEntryDate,Date,,,,,,,GETDATE(),Audit,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimVehicle,VehicleSK,BigInt,,,,,,,,,,,,Surrogate key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimVehicle,VehicleBK,varchar,OLTP,Vehicles,vehicle_id,OLTP,Vehicles,vehicle_id,OLTP,Vehicles,vehicle_id,varchar,Direct copy,Business key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimVehicle,Status,nvarchar(50),OLTP,Vehicles,status,OLTP,Vehicles,status,OLTP,Vehicles,status,varchar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimVehicle,has_cold_chain,int,OLTP,Vehicles,has_cold_chain,OLTP,Vehicles,has_cold_chain,OLTP,Vehicles,has_cold_chain,boolean,CAST to int (1/0),,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimVehicle,RecordIsLatest,int,,,,,,,Default 1,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimVehicle,HashCode,nvarchar(255),,,,,,,MD5 hash of attributes,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimVehicle,EndDate,Date,,,,,,,,SCD Type 2,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimVehicle,DWHEntryDate,Date,,,,,,,GETDATE(),Audit,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimIncident,IncidentSK,BigInt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimIncident,IncidentBK,varchar,OLTP,Incidents,incident_id,OLTP,Incidents,incident_id,OLTP,Incidents,incident_id,varchar,Direct copy,Business key,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimIncident,IncidentDateSK,BigInt,OLTP,Incidents,Incident_date,OLTP,Incidents,incident_date,OLTP,Incidents,incident_date,date,Lookup DimDate(Date),FK to DimDate,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimIncident,Reason,Text,OLTP,Incidents,reason,OLTP,Incidents,reason,OLTP,Incidents,reason,text,Direct copy,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimIncident,incident_type,varchar,OLTP,Incidents,incident_type,OLTP,Incidents,incident_type,OLTP,Incidents,incident_type,varchar,Direct copy,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,DateSK,BigInt,ERP_STG,CalendarDate,DateSk,,,,,,CONVERT(char(8), @CurrentDate, 112),Surrogate key, YYYYMMDD format,,SELECT * FROM [ERP_STG].[dbo].[CalendarDate],,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,Date_Seq,int,ERP_STG,CalendarDate,Date_Seq,,,,,,ROW_NUMBER() OVER (ORDER BY DateSk ASC),Sequence number for dates, assigned by ROW_NUMBER(),,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,DateNum,int,ERP_STG,CalendarDate,DateNum,,,,,,CONVERT(char(8), @CurrentDate, 112),Date in YYYYMMDD format,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,Date,Date,ERP_STG,CalendarDate,Date,,,,,,@CurrentDate,Populate full calendar,,,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,FullDate,char(10),ERP_STG,CalendarDate,FullDate,,,,,,CONVERT(char(10), @CurrentDate, 101),Date in MM-dd-yyyy format,,,,,,,,,,,,,,,,,
1,Dimension,Shared_SC,DimDate,Day,varchar(2),ERP_STG,CalendarDate,Day,,,,,,DATEPART(DD, @CurrentDate),Day number of Month,,,,,,,,,,,,,,,,,,
